section	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
0a Prose (8)	prose	麻美 ゆま（あさみ ゆま、1987年3月24日 - ）は、日本のタレント、歌手、女優、元AV女優、元恵比寿マスカッツ。	Asami Yuma (Asami Yuma, born March 24, 1987) is a Japanese talent, singer, actress, former AV actress, and former Ebisu Masqu.	10943879625	86	43	10481047458
0a Prose (8)	prose	天海 麗（あまみ れい、1984年3月28日 - ）は、日本の元AV女優。元SODクリエイト専属。所属事務所はオフィス・ファンタム。	Rei Amami (Amami Rei, born March 28, 1984) is a former Japanese AV actress. She was formerly exclusive to SOD Create. Her agency is Office Phantom.	20922232083	88	43	9859005542
0a Prose (8)	prose	自ら現在の事務所に応募し、業界入り。岩戸志穂として着エロ作品に出演したのち、2010年7月にマックス・エー専属で「New Comer」でAVデビュー。キャッチフレーズは「現役保育士が衝撃AVデビュー」。	She auditioned for her current agency and entered the industry. After appearing in erotic works as Shiho Iwato, she debuted in AV with "New Comer" under Max-E in July 2010. Her catchphrase is "Active nursery school teacher makes shocking AV debut."	27794361542	103	59	13672428789
0a Prose (8)	prose	2015年、ワンズファクトリーへ移籍。同年9月1日、移籍後初となる作品「吉川あいみの凄テクを我慢できれば生中出しSEX！」を発売。またMOODYZとのダブル専属となる。	In 2015, I transferred to One's Factory. On September 1st of the same year, I released my first work after the transfer, "If You Can't Resist Aikimi Yoshikawa's Amazing Techniques, Live Cumming SEX!". I also became double exclusive with MOODYZ.	29055354125	99	66	15452399957
0a Prose (8)	prose	雑誌グラビア、サイン会イベントも好調をキープ。雑誌の表紙、巻頭を始め、2005年度内で撮り下ろしグラビア74本、イベント数65会場はいずれもレコード。また各業界紙のセルビデオ、レンタルビデオチャートも軒並み席巻し1位も数々記録する。	Magazine gravure and autograph signing events are also maintaining strong performance. Including magazine covers and features, there were a record 74 newly shot gravure photos and 65 event venues within the 2005 fiscal year. Furthermore, they dominated the charts for cell video and rental video in various industry magazines, recording numerous number one spots.	33657062458	118	71	16647381040
0a Prose (8)	prose	2005年に『Bejean』2月号（1月14日発売、英知出版）でグラビアデビューし、同年2月25日、『Natural 天海 麗』（シャイ企画）にてAVデビュー。デビュー作は初回出荷で26,000本を記録する。その後も数字を伸ばし続け、5作目の『Frame Graffiti』は30,000本を記録し、発売元のシャイ企画に10年ぶりと言われる大ヒットをもたらした。この現象は時ならぬ「メガネっ娘」ブームの一翼を担ったものとされ、青年向け週刊誌や各夕刊紙でも報道された。	She made her gravure debut in the February 2005 issue of "Bejean" (released January 14th by Eichi Publishing), and on February 25th of the same year, she debuted in AV with "Natural Amami Rei" (Shy Project). Her debut work recorded 26,000 units in the first shipment. She continued to increase her numbers, and her fifth work, "Frame Graffiti," recorded 30,000 units, bringing a major hit to Shy Project, which was said to be a decade-long success. This phenomenon is considered to have been part of the "glasses girl" boom, which was reported in men's weekly magazines and evening tabloids.	69042739208	190	153	37415167109
0a Prose (8)	prose	シャイ企画との契約が僅か8本契約であることが判明するや、ビデ倫メーカー、セルメーカーを問わず熾烈な争奪戦が繰り広げられた末、老舗ブランドであるアリスJAPAN（ジャパンホームビデオ）が獲得に成功。その後、アリスJAPANへの合同リリース依頼が数社から申し込まれるが、アリスの関連会社であるマックス・エーとの合同リリースが決定発表され一旦、争奪戦に終止符が打たれた。	Upon discovering that the contract with Shy Planning was for only eight titles, a fierce battle for acquisition unfolded, involving video and cell manufacturers alike, ultimately resulting in the established brand Alice JAPAN (Japan Home Video) securing the rights. Subsequently, several companies submitted requests for joint releases with Alice JAPAN, but the decision was announced for a joint release with Max-A, an affiliate of Alice, which temporarily put an end to the bidding war.	44782481250	149	88	20990969123
0a Prose (8)	prose	2005年10月28日『純情ハードコア』（アリスJAPAN）、11月7日『新人×ギリギリモザイク』（S1）でAVデビュー。大手2社同時デビューは当時の業界内では極めて異例であった。キュートなルックスと明るいキャラクター、Hカップのバストで一躍人気女優となる。CDVJのPOSデータでは、麻美ゆまの作品がデビューからの半年間で1位を5回獲得（2005年11、12月、2006年2、3、4月）。	She debuted in AV on October 28, 2005, with "Junjo Hardcore" (Alice JAPAN), and on November 7, with "Shinjin x Girigiri Mosaic" (S1). It was extremely unusual in the industry at the time for her to debut with two major companies simultaneously. With her cute looks, bright personality, and H-cup bust, she quickly became a popular actress. According to CDVJ's POS data, Mami Yuma's works ranked number one five times within the six months after her debut (November, December 2005, and February, March, April 2006).	61983105250	172	140	33816527916
0b Labels — maker (30)	label_basic	ゲッツ!!	Gettse!	8693431416	45	5	971952374
0b Labels — maker (30)	label_basic	Cupido/妄想族	Cupido/Delusional People	4510953125	47	7	1440116875
