section	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
0a Prose (8)	prose	麻美 ゆま（あさみ ゆま、1987年3月24日 - ）は、日本のタレント、歌手、女優、元AV女優、元恵比寿マスカッツ。	Asami Yuma (born March 24, 1987) is a Japanese talent, singer, actress, former AV actress, and former member of Ebisu Muscats.	117704592875	114	40	31239917832
0a Prose (8)	prose	天海 麗（あまみ れい、1984年3月28日 - ）は、日本の元AV女優。元SODクリエイト専属。所属事務所はオフィス・ファンタム。	Amanami Rei (born March 28, 1984) is a former Japanese AV actress. She was formerly exclusive to SOD Create and is affiliated with Office Phantom.	80753622958	117	40	31981895999
0a Prose (8)	prose	自ら現在の事務所に応募し、業界入り。岩戸志穂として着エロ作品に出演したのち、2010年7月にマックス・エー専属で「New Comer」でAVデビュー。キャッチフレーズは「現役保育士が衝撃AVデビュー」。	She applied to her current agency and entered the industry. After appearing in bondage erotic works as Shiho Iwato, she made her AV debut under Max-A as a "New Comer" in July 2010 with the catchphrase "A Shocking AV Debut by a Current Kindergarten Teacher."	125275629584	140	65	56918149832
0a Prose (8)	prose	2015年、ワンズファクトリーへ移籍。同年9月1日、移籍後初となる作品「吉川あいみの凄テクを我慢できれば生中出しSEX！」を発売。またMOODYZとのダブル専属となる。	In 2015, she moved to Wan's Factory. On September 1 of the same year, she released her first work after joining the agency, "If You Can Bear Aimi Yoshikawa's Amazing Techniques, You Get To Have Sex With Her In Missionary!" She also became a double exclusive artist with MOODYZ.	120188293334	124	71	61333716665
0a Prose (8)	prose	雑誌グラビア、サイン会イベントも好調をキープ。雑誌の表紙、巻頭を始め、2005年度内で撮り下ろしグラビア74本、イベント数65会場はいずれもレコード。また各業界紙のセルビデオ、レンタルビデオチャートも軒並み席巻し1位も数々記録する。	Magazine gravure photos and signing event performances remain strong. Within the 2005 fiscal year, there were 74 original gravure photo shoots starting with magazine covers and opening spreads, as well as appearances at 65 events, both setting records. Additionally, various industry papers' self-video and rental video charts are dominated, with numerous number-one rankings achieved.	151192662750	160	77	64788020291
0a Prose (8)	prose	2005年に『Bejean』2月号（1月14日発売、英知出版）でグラビアデビューし、同年2月25日、『Natural 天海 麗』（シャイ企画）にてAVデビュー。デビュー作は初回出荷で26,000本を記録する。その後も数字を伸ばし続け、5作目の『Frame Graffiti』は30,000本を記録し、発売元のシャイ企画に10年ぶりと言われる大ヒットをもたらした。この現象は時ならぬ「メガネっ娘」ブームの一翼を担ったものとされ、青年向け週刊誌や各夕刊紙でも報道された。	In February 2005, she made her gravure debut in the February issue of 'Bejean' (released on January 14, published by Eichiden) and on February 25, she debuted in the adult video industry with 'Natural 天海 麗' (produced by Shay Plan). Her debut work sold an initial shipment of 26,000 copies. She continued to maintain high sales figures thereafter, with her fifth release, 'Frame Graffiti,' selling 30,000 copies and bringing a major hit to the production company Shay Plan after ten years. This phenomenon is said to have contributed to an unexpected "glasses girl" boom, which was reported in youth-oriented weekly magazines and various evening newspapers.	286391063166	241	160	137554983880
0a Prose (8)	prose	シャイ企画との契約が僅か8本契約であることが判明するや、ビデ倫メーカー、セルメーカーを問わず熾烈な争奪戦が繰り広げられた末、老舗ブランドであるアリスJAPAN（ジャパンホームビデオ）が獲得に成功。その後、アリスJAPANへの合同リリース依頼が数社から申し込まれるが、アリスの関連会社であるマックス・エーとの合同リリースが決定発表され一旦、争奪戦に終止符が打たれた。	When it was revealed that the contract with Shy Planning was only for eight episodes, a fierce bidding war broke out among various video and cell manufacturers. In the end, the long-established brand Alice JAPAN (Japan Home Video) secured the rights. Subsequently, several companies requested joint releases with Alice JAPAN, but it was announced that a joint release with Max-A, an affiliate of Alice, would proceed, bringing the bidding war to a close.	202040314125	199	94	82129277580
0a Prose (8)	prose	2005年10月28日『純情ハードコア』（アリスJAPAN）、11月7日『新人×ギリギリモザイク』（S1）でAVデビュー。大手2社同時デビューは当時の業界内では極めて異例であった。キュートなルックスと明るいキャラクター、Hカップのバストで一躍人気女優となる。CDVJのPOSデータでは、麻美ゆまの作品がデビューからの半年間で1位を5回獲得（2005年11、12月、2006年2、3、4月）。	On October 28, 2005, she made her AV debut with 'Junsei Hādokōre' (Alice Japan), followed by 'Shinjin × Girigiri Mosaic' (S1) on November 7. Debuting simultaneously with two major companies was extremely unusual at the time in the industry. With her cute looks, cheerful personality, and H-cup bust, she quickly became a popular actress. According to CDVJ's POS data, Yuma Amai's works ranked first five times within six months of her debut (November 2005 through April 2006).	246453928459	212	134	116531345083
0b Labels — maker (30)	label_basic	Cupido/妄想族	Cupid/Daydreamers	36600938625	66	7	5358556083
0b Labels — maker (30)	label_basic	ミル	Mill	10033154125	63	2	887175750
0b Labels — maker (30)	label_basic	ドリームチケット	Dream ticket	12388804000	66	3	1754997959
0b Labels — maker (30)	label_basic	未満	under	10660352625	64	2	873754250
0b Labels — maker (30)	label_basic	ゴールデンタイム	golden time	12292802084	65	3	1744962833
0b Labels — maker (30)	label_basic	犬/妄想族	Dog/Wandering Imaginators	17321287625	67	7	5206694249
0b Labels — maker (30)	label_basic	シネマジック	cinematic	13101681000	66	3	1728587792
0b Labels — maker (30)	label_basic	ズッコン/バッコン	thud/thump	15482491125	68	5	3453253125
0b Labels — maker (30)	label_basic	TAG/ゴールド	TAG/Gold	12185197084	64	4	2577794168
0b Labels — maker (30)	label_basic	ハヤブサ	Hawkbill	13822270250	65	5	3431872668
0b Labels — maker (30)	label_basic	フリーダム	Freedom	11348648167	66	2	877209750
0b Labels — maker (30)	label_basic	エムズビデオグループ	M's Video Group	16166651792	68	5	3430985750
0b Labels — maker (30)	label_basic	MERCURY（マーキュリー）	Mercury	15221882459	69	3	1722393375
0b Labels — maker (30)	label_basic	ケイ・エム・プロデュース	K.M. Produce	18474072625	71	5	3423905208
0b Labels — maker (30)	label_basic	グレイズ	Grayze	10540146000	64	3	1784572084
0b Labels — maker (30)	label_basic	アンダー	underneath	10428599292	63	3	1680927083
0b Labels — maker (30)	label_basic	レアルワークス	RealWorks	12003530458	65	3	1676878875
0b Labels — maker (30)	label_basic	KSB企画/エマニエル	KSB Planning/Emanuel	17683771958	69	6	4256281208
0b Labels — maker (30)	label_basic	下半身タイガース/妄想族	Tiger's Lower Body/Fantasy Tribe	21136018833	70	9	6913524583
0b Labels — maker (30)	label_basic	クリスタル映像	Crystal Image	14434594333	67	3	2050093583
0b Labels — maker (30)	label_basic	ゴールド/妄想族	Gold/Illusionary Tribe	17402155292	68	7	5349888500
0b Labels — maker (30)	label_basic	マドンナ	English: Madonna	12958896375	65	4	2579914082
0b Labels — maker (30)	label_basic	アリスJAPAN	Alice Japan	13937304125	66	3	2260759667
0b Labels — maker (30)	label_basic	変態紳士倶楽部	Perverted Gentlemen's Club	19846326833	70	7	5257594833
0b Labels — maker (30)	label_basic	レズれ！	Freak out! (or in more vulgar context: Fuck like crazy!)  Note: The most appropriate translation can vary based on the context, but both options aim to convey the aggressive or sexual exhortation implied by the Japanese text. For a natural and respectful response, "Freak out!" might be preferable without additional context suggesting a sexual scenario.	76650521791	65	72	65978478704
0b Labels — maker (30)	label_basic	ゲインコーポレーション	Gain Corporation	13793788125	66	3	1826060917
0b Labels — maker (30)	label_basic	プレステージ	prestige	14226997666	65	4	2784205875
0b Labels — maker (30)	label_basic	オルスタックピクチャーズ	Orstack Pictures	17243097791	69	4	2744343374
0b Labels — maker (30)	label_basic	山と空	mountains and sky	14259309542	64	5	3676226125
0b Labels — maker (30)	label_basic	ケー・トライブ	K Tribe	13748349083	66	3	1807407166
0b Labels — publisher (30)	label_basic	女群（レアルワークス）	Female ensemble (Real Works)	20846298792	69	7	6026427251
0b Labels — publisher (30)	label_basic	シュプリーム	Supreme	13133328708	65	3	1812681875
0b Labels — publisher (30)	label_basic	バミューダ/妄想族	Bermuda/Shumatsu族 (Shumatsu Tribe)	26555971792	69	14	11829446292
0b Labels — publisher (30)	label_basic	マッサGoGo！！/妄想族	Massa GoGo!! / Wandering Illusionists	25660124750	71	12	9997508416
0b Labels — publisher (30)	label_basic	ながえSTYLE	Nagae Style	14530126375	65	5	3598059668
0b Labels — publisher (30)	label_basic	龍縛	Dragon束缚 (Dragon binding/restraining)	19457243167	65	10	8123552500
0b Labels — publisher (30)	label_basic	連れ込み	kidnapping	12105178500	63	4	2766255416
0b Labels — publisher (30)	label_basic	ふらすぴ	Flaspi	13093078875	65	4	2701333167
0b Labels — publisher (30)	label_basic	美ッ痴	Cute and charming	14437894666	65	5	3583329209
0b Labels — publisher (30)	label_basic	バラエティ	variety show	13898151125	65	4	2678572251
0b Labels — publisher (30)	label_basic	Onafes（オナフェス）2017	Onafes 2017	25170520917	73	9	7540299251
0b Labels — publisher (30)	label_basic	ドリームチケット	Dream ticket	13595084250	66	3	1789806667
0b Labels — publisher (30)	label_basic	オーロラプロジェクト・アネックス	Aurora Project Annex	20497896542	70	6	4949209417
0b Labels — publisher (30)	label_basic	25時	11 PM	12904328791	64	4	2734277833
0b Labels — publisher (30)	label_basic	大人のドラマ	adult drama	12314527833	64	3	1884503333
0b Labels — publisher (30)	label_basic	ナンパJAPAN	Pickup Japan	15304496125	67	4	2712643250
0b Labels — publisher (30)	label_basic	ギャルドッキュン	Galduckyin	16512314042	67	5	3691577875
0b Labels — publisher (30)	label_basic	INFINITY（プレステージ）	Infinity (Prestige)	17150939250	66	7	5461611249
0b Labels — publisher (30)	label_basic	クリームパイ	cream pie	13000885417	65	3	1827093791
0b Labels — publisher (30)	label_basic	ゆるポケ	Relaxed Poke	12656233209	65	4	2672936916
0b Labels — publisher (30)	label_basic	無垢	innocence	12888674291	64	4	2666863375
0b Labels — publisher (30)	label_basic	Digital Ark（デジタルアーク）	Digital Ark	15698832958	68	3	1795295333
0b Labels — publisher (30)	label_basic	MARX（マルクス兄弟）	Marx Brothers	15649082250	67	4	2916799458
0b Labels — publisher (30)	label_basic	不貞女情	unfaithful woman's feelings	17013308375	65	7	5537500708
0b Labels — publisher (30)	label_basic	グラッツコーポレーション	Gratz Corporation	16150367583	67	4	3179986458
0b Labels — publisher (30)	label_basic	オルガBlack	Organa Black	13027862959	65	4	2734646459
0b Labels — publisher (30)	label_basic	オールアダルトジャパン	All Adult Japan	15704953208	69	4	2872646626
0b Labels — publisher (30)	label_basic	東京音光	Tokyo Sound Light	14875934375	65	5	3635017708
0b Labels — publisher (30)	label_basic	催眠実験	hypnosis experiment	14521039250	66	4	2701236541
0b Labels — publisher (30)	label_basic	Onafes（オナフェス）2018	Onafes 2018	25300654000	73	9	7235103626
0b Labels — series (30)	label_basic	童貞のフリした絶倫○○	Pretending to be a virgin while being extremely sexually promiscuous	30734076417	74	15	12486996166
0b Labels — series (30)	label_basic	初老の小説家に飼われた女編集者	An older novelist who kept a female editor as a pet	30429863958	77	12	9849601959
0b Labels — series (30)	label_basic	即ズボ！	Get started right away!	15071314500	65	6	4407439084
0b Labels — series (30)	label_basic	口全ワイセツ	oral pornography	13321859750	66	3	1852213875
0b Labels — series (30)	label_basic	【実写版】りんかん倶楽部	Real Version Lin Kan Club	21564383542	73	6	4362855207
0b Labels — series (30)	label_basic	狩られた女子学生	A hunted female student	14996380417	66	5	3499263959
0b Labels — series (30)	label_basic	もしも…○○が○○だったら…。	What if... ○○ were ○○... Note: The placeholders "○○" should be replaced with actual words or phrases in a complete sentence.	42350600542	72	31	26156532334
0b Labels — series (30)	label_basic	どしろうとちゃんねる	Doshirouto Channel	18370243209	68	7	5245657667
0b Labels — series (30)	label_basic	超イイ女とハメたい	I want to be intimately involved with an amazing woman	23351923291	70	11	8749602916
0b Labels — series (30)	label_basic	鬼イカセ	Devilishly tease	14871464875	66	5	3493044500
0b Labels — series (30)	label_basic	媚薬濃縮精液注入	媚药浓缩精液注射	19918784500	70	7	5241273999
0b Labels — series (30)	label_basic	○○と子作り新婚生活	Making Babies in Our Newlywed Life	19082333959	68	8	6090845960
0b Labels — series (30)	label_basic	即ズボ！そんな格好だとすぐヤラれちゃうよ！？	Hurry up and take them off! You'll get taken advantage of like that!？	35930013250	77	19	15756282333
0b Labels — series (30)	label_basic	蛇縛の肉体献上	Serpent Binding Corporeal Offering	19800163708	69	8	6088040167
0b Labels — series (30)	label_basic	回春アジアンメンズエステ	rejuvenating Asian male massage	18178196791	68	7	5217335210
0b Labels — series (30)	label_basic	催眠実験	hypnosis experiment	13933806125	66	4	2605298749
0b Labels — series (30)	label_basic	課外性奴	out-of-class activities slave	15757840792	66	6	4346713667
0b Labels — series (30)	label_basic	Riko（星乃莉子）	Riko (Hoshino Riko)	19908176959	67	10	7806595332
0b Labels — series (30)	label_basic	完ナマSTYLE@○○	Raw Style@○○	17221153958	68	6	4332677249
0b Labels — series (30)	label_basic	ヲタサーの姫。	otaku princess	14785229875	67	4	2603177167
0b Labels — series (30)	label_basic	6本番	six takes	11395954500	64	3	1729026500
0b Labels — series (30)	label_basic	お嬢様クロニクル	Lady's Chronicle	15454376750	69	4	2589367208
0b Labels — series (30)	label_basic	OLびんびん物語	Office Lady Fierce Tale	16873805167	67	6	4339862625
0b Labels — series (30)	label_basic	着せ替えデリバリー えちえちフルオプ射精三昧！	Erotic costume delivery service! Cumming non-stop!	33857008209	82	12	9558006248
0b Labels — series (30)	label_basic	専属女優のフェラ我慢できたら…	If you can endure the blowjob from the exclusive actress...	25711511875	72	12	9588411874
0b Labels — series (30)	label_basic	○○お貸しします。	I will lend you ○○.	17529349375	66	8	6142026750
0b Labels — series (30)	label_basic	これが噂の痙攣薬漬け単体ヴァージョン	This is the rumored individual version soaked in convulsion-inducing drugs	33070529750	79	14	11317960957
0b Labels — series (30)	label_basic	奴隷秘書	slave secretary	13869050709	67	3	1745545583
0b Labels — series (30)	label_basic	昼間っから一日中、ず～っと性交	Having sex all day long from morning	23089603500	73	8	6079616666
0b Labels — series (30)	label_basic	人妻寝盗られ物語	Wife sleeping theft story	17458419125	68	6	4538773709
