bucket	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
short	label_basic	最強ヒロインAV初体験3本番 瀬戸環奈	Strongest Heroine AV First Experience 3 Rounds Kanana Seto	23589848667	57	15	3197151207
short	prose	最強ヒロインAV初体験3本番 瀬戸環奈	Strongest Heroine AV First Experience 3 Matches Kanana Seto	13899327875	57	15	3316706584
short	title	最強ヒロインAV初体験3本番 瀬戸環奈	Strongest Heroine AV First Time 3 Rounds Kaneta Seto	20817397709	95	15	3244045707
short	label_basic	メーカー横断ベスト！！！ 麻美ゆま8時間	Manufacturer-spanning best!!! Mami Yuma 8 hours	11918727167	52	13	2825014958
short	prose	メーカー横断ベスト！！！ 麻美ゆま8時間	Manufacturer-spanning best!!! Mami Yuma 8 hours	11781194209	52	13	2801326625
short	title	メーカー横断ベスト！！！ 麻美ゆま8時間	Manufacturer crossover best!!! Mami Yuma 8 hours	19348046125	90	12	2592954542
short	label_basic	ギリモザ 近親相姦 狂った絆 蒼井そら	Girimosa Incest Crazy Bond Sora Aoi	12565968667	58	11	2368506208
short	prose	ギリモザ 近親相姦 狂った絆 蒼井そら	Girimosa Incest Crazy Bond Sora Aoi	12648561209	58	11	2351004209
short	title	ギリモザ 近親相姦 狂った絆 蒼井そら	Girimosa Incest Crazy Bond Aoi Sora	20138508084	96	11	2342889709
short	label_basic	夫の友人 早川瀬里奈	My husband's friend, Rina Hayakawa	10955771583	50	11	2345906792
short	prose	夫の友人 早川瀬里奈	My husband's friend, Rina Hayakawa	11002497417	50	11	2353540417
short	title	夫の友人 早川瀬里奈	My husband's friend Sarina Hayakawa	18476336959	88	10	2122879126
short	label_basic	凄いパイズリ、凄い挟射 吉川あいみ	Amazing pizi, amazing shooting, Ai-mi Yoshikawa	12309490500	54	13	2840616958
short	prose	凄いパイズリ、凄い挟射 吉川あいみ	Amazing pails, amazing shooting. Ai Yoshikawa.	12249935667	54	12	2653108333
short	title	凄いパイズリ、凄い挟射 吉川あいみ	Amazing pizzari, amazing insemination Aimi Yoshikawa	20212812583	92	13	2933612415
short	label_basic	放課後緊縛解放区 松本いちか	After School Bondage Release Zone Ichika Matsumoto	11285964667	52	10	2145170001
short	prose	放課後緊縛解放区 松本いちか	After School Bondage Release Zone Ichika Matsumoto	11333760959	52	10	2148045793
short	title	放課後緊縛解放区 松本いちか	After School Bondage Release Zone Matsumoto Ichika	19313246542	90	10	2246845417
short	label_basic	美っ痴魔女 ベスト	Beautiful Witch Best	9454899958	48	4	723513999
short	prose	美っ痴魔女 ベスト	Beautiful Witch Best	9185058666	48	4	729446999
short	title	美っ痴魔女 ベスト	Beautiful Witch Best	16978268042	86	4	717746583
medium	label_basic	中出しソープランドに堕ちた女子大生 湊莉久	College student who fell for a soapland with internal ejaculation	12976235917	57	12	2666072873
medium	prose	中出しソープランドに堕ちた女子大生 湊莉久	College Girl Falls into a Live-In Soapland, Riku Minato	13964371125	57	16	3678019918
medium	title	中出しソープランドに堕ちた女子大生 湊莉久	College girl who fell into a wet-sex soapland, Riku Minato	22222190625	95	17	4000370085
medium	label_basic	ギリモザ 美しい痴女の接吻と性交 麻美ゆま	Grimoza: The Kiss and Intercourse of a Beautiful Courtesan by Mami Yuma	16211208458	59	21	4898221623
medium	prose	ギリモザ 美しい痴女の接吻と性交 麻美ゆま	Grimoza: The Kiss and Intercourse of a Beautiful Temptress by Mami Yuma	15732810542	59	20	4669696293
medium	title	ギリモザ 美しい痴女の接吻と性交 麻美ゆま	Grimosa Beautiful Slut's Kiss and Sex Mami Yuma	22927577500	97	15	3554146252
medium	label_basic	kira★kira SPECIAL 褐色日焼けぶっトび娘vs変態淫語お姉さん 性交依存症大乱交祭り	Kira★Kira SPECIAL Tan Skin Sunburnt Girl vs Perverted Dirty-Talk Older Sister Sex Addiction Orgy Festival	19752233792	70	25	6014723961
medium	prose	kira★kira SPECIAL 褐色日焼けぶっトび娘vs変態淫語お姉さん 性交依存症大乱交祭り	Kira★Kira SPECIAL Tan-skinned Sun-tanned Girl vs. Perverted Dirty-mouthed Older Sister: Sex Addiction Orgy Festival	21326279375	70	31	7636695294
medium	title	kira★kira SPECIAL 褐色日焼けぶっトび娘vs変態淫語お姉さん 性交依存症大乱交祭り	kira★kira SPECIAL Tan Skin Sunburnt Girl vs Perverted Dirty Talk Older Sister Sex Addiction Orgy Festival	27778425500	108	22	5399694420
medium	label_basic	※注意※完全M男特化！乳首責めお姉さんの騎乗位中出し！！合計12発完全搾取！！！ 紗倉まな	Warning! For complete masochists! Nipple teasing older sister's riding position internal ejaculation!! Total of 12 shots of complete exploitation!!! Mana Sakura	23405295958	75	33	8342077665
medium	prose	※注意※完全M男特化！乳首責めお姉さんの騎乗位中出し！！合計12発完全搾取！！！ 紗倉まな	※Warning※ Completely M-male specialized! Nipple teasing older sister's riding position internal ejaculation!! Total of 12 shots of complete exploitation!!! Mana Sakura	23929468750	75	34	8666995456
medium	title	※注意※完全M男特化！乳首責めお姉さんの騎乗位中出し！！合計12発完全搾取！！！ 紗倉まな	Caution! For complete M men only! Nipple teasing older sister's riding position cumming inside!! Total 12 shots of complete exploitation!!! Mana Sakura	32900265084	113	33	8741819123
medium	label_basic	【FANZA限定】男をオモチャにする反抗不能なハイレグW痴女 写真とチェキ付き	[FANZA Exclusive] Unresistable High-Cut Double Slut Making Men into Toys Photos and Cheki Included	20134507625	67	24	6239970125
medium	prose	【FANZA限定】男をオモチャにする反抗不能なハイレグW痴女 写真とチェキ付き	[FANZA Exclusive] Unresistable High-Cut Double Slut Making Men into Toys Photos and Cheki Included	20536706875	67	24	6367467501
medium	title	【FANZA限定】男をオモチャにする反抗不能なハイレグW痴女 写真とチェキ付き	[FANZA Limited] Unruly High-Leg W-Chiko Making Men into Toys with Photos and Cheki	29621598250	105	25	6625974543
medium	label_basic	合鍵をもらった人妻が、男子学生が卒業するまで中出しされた一人暮らし部屋。 星宮一花	A single-person apartment where a married woman who received a spare key was repeatedly pleasured until a male student graduated. Ichika Hoshimiya	22419962375	66	30	8409737420
medium	prose	合鍵をもらった人妻が、男子学生が卒業するまで中出しされた一人暮らし部屋。 星宮一花	A single-person apartment where a married woman who received a spare key was repeatedly pleasured until a male student graduated. Ichika Hoshimiya	22243490750	66	30	8065631955
medium	title	合鍵をもらった人妻が、男子学生が卒業するまで中出しされた一人暮らし部屋。 星宮一花	The single room where the cheating housewife who received a spare key was fucked until the male student graduated. Ichika Hoshimiya	30472926375	104	26	7065858419
medium	label_basic	エレベーター緊急停止で密室パニック ナマイキ女にムカつき汗だくレ×プ輪● 椎名そら	Elevator emergency stop leads to confined space panic. Sweaty, frustrated man harasses woman in a private space. Shiina Sora	23707160125	73	27	7412200708
medium	prose	エレベーター緊急停止で密室パニック ナマイキ女にムカつき汗だくレ×プ輪● 椎名そら	Elevator emergency stop leads to confined space panic. Sweaty, irritated by the naked woman. Re×Puun● Shiina Sora	24393223709	73	28	7926822168
medium	title	エレベーター緊急停止で密室パニック ナマイキ女にムカつき汗だくレ×プ輪● 椎名そら	Elevator emergency stop confined panic annoyed sweat-soaked Re×Puri Shiina Sora	30708936250	111	18	4930463666
long	label_basic	「謝るまで射精させるからな！」生意気な男子生徒をメスイキ連射で服従させる（元・M 性感エステティシャンの）スゴテク女教師 紗倉まな	I'll make you cum until you apologize! A skilled female teacher (former M sensual esthetician) who makes a cocky male student submit with female ejaculation.	29690759916	87	35	9846417877
long	prose	「謝るまで射精させるからな！」生意気な男子生徒をメスイキ連射で服従させる（元・M 性感エステティシャンの）スゴテク女教師 紗倉まな	"I'll make you ejaculate until you apologize!" A skilled female teacher (a former M sensual esthetician) who forces a cocky male student into submission with female ejaculation.	30800437875	87	39	10992482708
long	title	「謝るまで射精させるからな！」生意気な男子生徒をメスイキ連射で服従させる（元・M 性感エステティシャンの）スゴテク女教師 紗倉まな	I'll make you cum until you apologize! A superb technique female teacher, Sakura Mana, forces a cocky male student into submission with wet ecstasy.	38758842375	125	32	9106399372
long	label_basic	【FANZA限定】免許合宿でギャルとまさかの相部屋 絶倫チ○ポとバレて、鬼フェラ＆爆裂ピストンで20発も精子ぶっこ抜かれたボク。 AIKA 生写真2枚付き	[FANZA Exclusive] Sharing a room with a gyaru at a driver's license training camp. I got caught with my stamina and was pumped full of semen from her intense fellatio and explosive pisting, receiving 20 shots. Includes 2 AIKA photos.	39566689667	96	57	16997029085
long	prose	【FANZA限定】免許合宿でギャルとまさかの相部屋 絶倫チ○ポとバレて、鬼フェラ＆爆裂ピストンで20発も精子ぶっこ抜かれたボク。 AIKA 生写真2枚付き	[FANZA Exclusive] Sharing a room with a gyaru at a driving school camp. I was exposed for my stamina, and she gave me an intense fellatio and explosive pisting, emptying 20 loads of semen into me. Includes 2 AIKA photo cards.	39160067166	96	57	16855431290
long	title	【FANZA限定】免許合宿でギャルとまさかの相部屋 絶倫チ○ポとバレて、鬼フェラ＆爆裂ピストンで20発も精子ぶっこ抜かれたボク。 AIKA 生写真2枚付き	[FANZA Limited] Sharing a room with a gyaru at a driver's license training camp, I was caught with my stamina cock and got 20 shots of cum from her fellatio and explosive pisting. Includes 2 AIKA photo cards.	48199081417	134	54	16003630958
long	label_basic	【FANZA限定】寝取られ願望のある素人カップル限定！ 松本いちかNTRファン感謝祭！勃起したら彼女の目の前でナマ中出し罰ゲーム！！ 生写真2枚付き	[FANZA Exclusive] For amateur couples with NTR fantasies only! Ichika Matsumoto NTR Fan Appreciation Festival! Wet cumshot in front of her as a punishment game!! Includes 2 photo cards	31766861708	88	39	11331801835
