section	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
Titles (15)	basic	ガッツリ欲しがるカラダ 吉川あいみ	A Body That Demands It All - Ai Mi Yoshikawa	58423181291	107	13	6079818668
Titles (15)	basic	松本いちかSUPER COMPLETE BEST	Matsumoto Ichika SUPER COMPLETE BEST	10370852792	102	9	4083998708
Titles (15)	basic	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	A married woman with excessive sexual desire invites rape. Tired of her mundane sex life, she desires to be tempted by another man and have a wild, masochistic experience. Sakura Mana	46283647292	146	40	20692385624
Titles (15)	basic	超快感風俗フルコース 神咲詩織	Super Sensual Full Course Prostitution with Kami Sakishi	13804639208	106	12	5709299458
Titles (15)	basic	紗倉まな お悩み人生相談	Sakura Mana - Life Advice Corner	10910440916	104	8	3602767623
Titles (15)	basic	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After eight months of negotiations, it's finally happening! Erika Sato's first threesome!	22850041042	116	21	10495377499
Titles (15)	basic	元彼と同窓会で再会した後、魔が差して久しぶりのキメセクをしてしまった私は不貞行為と知りつつも一生あの圧倒的快感から離れられなくなってしまいました… 桜空もも （ブルーレイディスク） 生写真3枚セット	After running into my ex at our school reunion, I acted on impulse and had a passionate encounter—knowing full well it was cheating—and now I can't get that overwhelming pleasure out of my mind... Sakura Air (Blu-ray Disc) - 3-piece set of signed photos	62120374542	156	60	31450307249
Titles (15)	basic	フラれた女に執着襲撃姦復縁するまで終わらない這ってでも求愛サイコ依存彼氏の自宅軟禁種付けレ×プ 桜空もも （ブルーレイディスク）	A desperate love pursuit never ends until she gets her ex-boyfriend back, who is a psychotic dependent, keeping her at home and forcing herself upon her - Rape (Blu-ray) Sakura Sora Momo	49563144125	138	42	26328379917
Titles (15)	basic	24/SEVENα 06	24/7 Alpha 06	13560670875	105	9	4718743290
Titles (15)	basic	生中出し 花野真衣	Uncensored creampie Hana Manoi	11360370708	101	9	4708701249
