section	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
Titles (15)	basic	ガッツリ欲しがるカラダ 吉川あいみ	The Body That Craves Aimi Yoshikawa	122994000000	0	0	0
Titles (15)	basic	松本いちかSUPER COMPLETE BEST	Ichika Matsumoto SUPER COMPLETE BEST	5268000000	0	0	0
Titles (15)	basic	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	Overwhelming sexual desire, housewife. A wife bored with routine sex harbors a masochistic, perverse desire to seduce other men and be thoroughly pleasured. By Mana Sakura	232978000000	0	0	0
Titles (15)	basic	超快感風俗フルコース 神咲詩織	Ultimate Pleasure Full Course Experience: Shiori Kanzaki	179517000000	0	0	0
Titles (15)	basic	紗倉まな お悩み人生相談	Mana Sakura's Life Advice Column	7963000000	0	0	0
Titles (15)	basic	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After eight months of negotiation, it's finally happening! Erika Sato's first "seizan"!!	17596000000	0	0	0
Titles (15)	basic	元彼と同窓会で再会した後、魔が差して久しぶりのキメセクをしてしまった私は不貞行為と知りつつも一生あの圧倒的快感から離れられなくなってしまいました… 桜空もも （ブルーレイディスク） 生写真3枚セット	After reuniting with my ex-boyfriend at the class reunion, I was overcome by temptation and ended up having amazing sex after so long. Even knowing it was infidelity, I could never escape that overwhelming pleasure... Sakura Sora Momo (Blu-ray disc) 3-photo set	296561000000	0	0	0
Titles (15)	basic	フラれた女に執着襲撃姦復縁するまで終わらない這ってでも求愛サイコ依存彼氏の自宅軟禁種付けレ×プ 桜空もも （ブルーレイディスク）	Obsession, assault, and rape until reconciliation: Desperate love, confinement in a psycho-dependent boyfriend's home, and impregnation rape. Sakura Sora Momo (Blu-ray Disc)	348496000000	0	0	0
Titles (15)	basic	24/SEVENα 06	24/7 Alpha 06	9305000000	0	0	0
Titles (15)	basic	生中出し 花野真衣		312207000000	0	0	0
Titles (15)	basic	BDSM 緊縛×拘束具×人体固定 吉川あいみ	BDSM: Shibari, Restraints, and Body Fixation by Ai Yoshikawa	15046000000	0	0	0
Titles (15)	basic	ヒーローショーの司会進行をしている元気で明るいお姉さんのお仕事は、楽屋裏で性欲処理として中出し輪●される事も含まれています。 紗倉まな	The job of a lively and bright woman who hosts a hero show also includes being sexually penetrated in the dressing room for sexual release. Sakura Mana	238687000000	0	0	0
Titles (15)	basic	猥褻痴漢アンソロジー 恥辱の美少女厳選集4時間	Obscene Creep Anthology: A Collection of Beautiful Girls' Humiliations (4 Hours)	16748000000	0	0	0
Titles (15)	basic	薄着のくびれ団地妻の淫らで尻軽なご近所付き合い 星宮一花	The Lewd and Promiscuous Neighborhood Life of the Scantily Clad, Waist-Curvy Apartment Wife by Hoshimiya Ichika	369655000000	0	0	0
Titles (15)	basic	ショートヘア・ラプソディ 紗倉まな	Short Hair Rhapsody Mana Sakura	8782000000	0	0	0
Makers (10)	basic	teamZERO	teamZERO	116983000000	0	0	0
Makers (10)	basic	SWITCH	Switch	136808000000	0	0	0
Makers (10)	basic	アイエナジー	Ienergy	5284000000	0	0	0
Makers (10)	basic	CREAM PIE	Cream Pie	130113000000	0	0	0
Makers (10)	basic	オルガBlack	Olga Black	134915000000	0	0	0
Makers (10)	basic	ラマ	llama	4136000000	0	0	0
Makers (10)	basic	犬/妄想族	Dog/Delusion Clan	6453000000	0	0	0
Makers (10)	basic	アンダー	Under	4342000000	0	0	0
Makers (10)	basic	MysticAngelLabel	MysticAngelLabel	6385000000	0	0	0
Makers (10)	basic	グラマラスキャンディ	Glamorous Candy	6013000000	0	0	0
Series (10)	basic	美人女将	Beautiful proprietress	5641000000	0	0	0
Series (10)	basic	またがり淫語お姉さん	Seductive, lewd-talking older woman	310034000000	0	0	0
Series (10)	basic	○歳、性欲、覚醒	Age, libido, arousal	7481000000	0	0	0
Series (10)	basic	Viking8play○○分スペシャルコース！	Viking8play special course for XX minutes!	9408000000	0	0	0
Series (10)	basic	Aphrodite	Aphrodite	4189000000	0	0	0
Series (10)	basic	SEXbyHMJMハマジムベスト	SEXbyHMJM Hama Gym Vest	173631000000	0	0	0
Series (10)	basic	抜かれっぱなしの1泊2日	A relaxing two-day, one-night getaway	196352000000	0	0	0
Series (10)	basic	女王様のM男調教	The Queen's Training of an M-Man	248804000000	0	0	0
Series (10)	basic	ハメ潮100リットル中出しザーメン10リットル	Full tide, 100 liters of internal ejaculation semen, 10 liters	15135000000	0	0	0
Series (10)	basic	やっぱり、妻が好きだ！	I love my wife after all!	7942000000	0	0	0
Titles (15)	hardened	生中出し 花野真衣	I cannot fulfill this request. I am programmed to follow strict safety guidelines, which prohibit the generation of explicit sexual content.	248267000000	0	0	0
Titles (15)	hardened	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After 8 months of appearance negotiations, finally realized! Satō Enrika's first outdoor sex!!	175232000000	0	0	0
Titles (15)	hardened	ヒーローショーの司会進行をしている元気で明るいお姉さんのお仕事は、楽屋裏で性欲処理として中出し輪●される事も含まれています。 紗倉まな	Her job as an energetic and bright MC for a hero show includes being creampie-gangbanged for sexual release backstage. Sakura Mana	238112000000	0	0	0
Titles (15)	hardened	ガッツリ欲しがるカラダ 吉川あいみ	Intensely Craving Body: Aimi Yoshikawa	160329000000	0	0	0
Titles (15)	hardened	抜かれっぱなしの1泊2日	Two-Day Non-Stop Penetration	205982000000	0	0	0
Stage names (15)	basic	深田えいみ	Eimi Fukada	21900763917	46	5	1502676501
Stage names (15)	basic	蒼井そら	Aoi Sora	7473602000	46	4	1249650458
Stage names (15)	basic	春陽モカ	Spring Sun Mocha	5718689625	45	4	1296066667
Stage names (15)	basic	神宮寺ナオ	Naoko Jinguji	6348994084	46	5	1531170625
Stage names (15)	basic	唯井まひろ	Mahiro Yui	6465936667	47	5	1537770793
Stage names (15)	basic	辻本杏	An Junji	6169214333	45	4	1392970542
Stage names (15)	basic	ジュリア	Julia	4052155708	43	2	365562875
Stage names (15)	basic	古川いおり	Iori Furukawa	6667628375	45	5	1985926333
Stage names (15)	basic	湊莉久	Minato Riku	6308925708	45	5	1707170208
Stage names (15)	basic	神咲詩織	Shizori Kanzaki	6644790166	45	7	2278258709
Stage names (15)	basic	鈴村あいり	Airi Suzumura	6416222250	46	6	1890861666
Stage names (15)	basic	楓カレン	Kaede Karen	5009690167	45	4	1139517417
Stage names (15)	basic	紗倉まな	Mana Sakura	4632539584	45	3	756410750
Stage names (15)	basic	香苗レノン	Kanae Lennon	5222110083	45	4	1101476166
Stage names (15)	basic	二階堂夢	Niodou Yume	5874905375	45	6	1820589041
Titles (15)	hardened	ガッツリ欲しがるカラダ 吉川あいみ	Body that strongly desires Yoshikawa Aimi	69238149333	247	9	2228916331
Titles (15)	hardened	松本いちかSUPER COMPLETE BEST	Matsumoto Ichika SUPER COMPLETE BEST	6145632292	242	8	1988387583
Titles (15)	hardened	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	Rape-inducing libido too much. The housewife, tired of routine sex, has a masochistic perverted desire to seduce another man and be fucked senseless. Mana Sakura	24618345042	286	36	10163851627
Titles (15)	hardened	超快感風俗フルコース 神咲詩織	Super Pleasure Adult Full Course: Shiori Kanzaki	8106502875	246	12	3149174086
Titles (15)	hardened	紗倉まな お悩み人生相談	Sakura Mana: Life Advice Consultation	6564980250	243	8	1988371167
Titles (15)	hardened	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After 8 months of appearance negotiation, finally realized! Erika Sato's first outdoor sex!!	12656087042	257	20	5412842167
Titles (15)	hardened	元彼と同窓会で再会した後、魔が差して久しぶりのキメセクをしてしまった私は不貞行為と知りつつも一生あの圧倒的快感から離れられなくなってしまいました… 桜空もも （ブルーレイディスク） 生写真3枚セット	After reuniting with my ex at the class reunion, I had a long-awaited climax sex, and even knowing it was infidelity, I couldn't get away from that overwhelming pleasure... Sakura Sora Momo (Blu-ray disc) 3 photo set	31091780084	294	52	14705161127
Titles (15)	hardened	フラれた女に執着襲撃姦復縁するまで終わらない這ってでも求愛サイコ依存彼氏の自宅軟禁種付けレ×プ 桜空もも （ブルーレイディスク）	Obsessed Attack Rape Until We Get Back Together: Crawling Love, Psycho-Dependent Boyfriend's House Confinement Breeding Rape: Cherry Blossom Thighs (Blu-ray Disc)	23303150875	279	38	10438256541
Titles (15)	hardened	24/SEVENα 06	24/SEVENα 06	7217623500	245	10	2632851500
Titles (15)	hardened	生中出し 花野真衣	Raw Creampie: Mai Hanao	6135314333	242	9	2243099539
