section	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
Titles (15)	basic	ガッツリ欲しがるカラダ 吉川あいみ	Aihime Yoshikawa's Desperately Craving Body	70592017583	76	14	10035364584
Titles (15)	basic	松本いちかSUPER COMPLETE BEST	Ichika Matsumoto SUPER COMPLETE BEST	18643379750	68	10	6947431166
Titles (15)	basic	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	Wife with overwhelming sexual desire invites rape, has masochistic desires to be messed up by other men due to boredom with routine sex. Manaka Sakura	72878555375	119	33	24648450625
Titles (15)	basic	超快感風俗フルコース 神咲詩織	Supreme Sensation Adult Entertainment Full Course Shiore Kagashi	27488991041	77	13	9252129961
Titles (15)	basic	紗倉まな お悩み人生相談	Sawa Mana Life Counseling	19966481000	73	7	4633375000
Titles (15)	basic	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After eight months of negotiations, it finally happened! Saeki Satoka's debut in blue films!	41485189750	88	21	15416503623
Titles (15)	basic	元彼と同窓会で再会した後、魔が差して久しぶりのキメセクをしてしまった私は不貞行為と知りつつも一生あの圧倒的快感から離れられなくなってしまいました… 桜空もも （ブルーレイディスク） 生写真3枚セット	After reuniting with my ex at a class reunion, I gave in to temptation and had incredible sex, knowing it was adultery but unable to escape the overwhelming pleasure... Cherry Sky Momoe (Blu-ray Disc) Live Photos 3-piece set	105913765584	131	51	48837906041
Titles (15)	basic	フラれた女に執着襲撃姦復縁するまで終わらない這ってでも求愛サイコ依存彼氏の自宅軟禁種付けレ×プ 桜空もも （ブルーレイディスク）	Clinging obsessive ex boyfriend ends only after raping the rejected girl, climbing to pursue her love, psycho dependent boyfriend confines her at home for impregnation (Blu-ray Disc) Sakura Sora Momomi	94461461958	114	44	41260225879
Titles (15)	basic	24/SEVENα 06	24/7 Alpha 06	24539662584	70	9	8208052458
Titles (15)	basic	生中出し 花野真衣	Live uncensored streaming Mai Hanano	22723985250	69	8	7092445460
Titles (15)	basic	BDSM 緊縛×拘束具×人体固定 吉川あいみ	Ai Yachika in BDSM bondage and restraints	35566717416	79	11	10376143417
Titles (15)	basic	ヒーローショーの司会進行をしている元気で明るいお姉さんのお仕事は、楽屋裏で性欲処理として中出し輪●される事も含まれています。 紗倉まな	An energetic and cheerful hostess who conducts a hero show also has her sexual desires fulfilled by being involved in creampie gangbang sessions behind the scenes. Mana Sako	91932735208	114	33	34404708414
Titles (15)	basic	猥褻痴漢アンソロジー 恥辱の美少女厳選集4時間	Shameful Indecent Assailant Anthology:精选羞辱美丽少女4小时集	53563457250	83	21	22724876832
Titles (15)	basic	薄着のくびれ団地妻の淫らで尻軽なご近所付き合い 星宮一花	Seductive and flirtatious neighborhood interactions of a curvaceous underdressed apartment wife: Hoshimine Ichika	71287883417	90	27	30592623998
Titles (15)	basic	ショートヘア・ラプソディ 紗倉まな	Short Hair Rhapsody Mana Sakuraza	38579271667	78	10	10984814751
Stage names (15)	basic	深田えいみ	Eimi Fukada	20006360000	67	5	4514922167
Stage names (15)	basic	蒼井そら	Sora Aoi	19260028667	66	5	4630757041
Stage names (15)	basic	春陽モカ	Spring Sun Mocha	18230055541	65	5	4463931999
Stage names (15)	basic	神宮寺ナオ	Naoe Kagurazaka	22453470375	67	7	6856699416
Stage names (15)	basic	唯井まひろ	Mahiru Ii	23338937917	67	6	5782812542
Stage names (15)	basic	辻本杏	Akane Tsujimoto	20606769583	64	6	6657373667
Stage names (15)	basic	ジュリア	Julia	16647230459	64	3	3068711458
Stage names (15)	basic	古川いおり	Iori Furukawa	22038035125	65	6	6876979708
Stage names (15)	basic	湊莉久	Mio Reiko	19595478500	65	5	5608102500
Stage names (15)	basic	神咲詩織	Shizuku Kamisaki	23356331750	68	7	6729637499
Stage names (15)	basic	鈴村あいり	Ai Irie	21157082417	67	4	4497313709
Stage names (15)	basic	楓カレン	Maple Karen	16818637958	65	4	3330152125
Stage names (15)	basic	紗倉まな	Mana Sako	19997419042	67	5	4468725083
Stage names (15)	basic	香苗レノン	Kōe Lennon	20477141917	67	5	4844116125
Stage names (15)	basic	二階堂夢	Nikaido Yume	19977307500	65	7	6613941293
Makers (10)	basic	teamZERO	team ZERO	12445951125	62	3	2180479709
Makers (10)	basic	SWITCH	Switch	10261838708	61	2	1109810250
Makers (10)	basic	アイエナジー	Aienegi Energy	18493106250	65	6	5423001167
Makers (10)	basic	CREAM PIE	Cream pie	13411893916	63	3	2257396958
Makers (10)	basic	オルガBlack	Orgia Black	16272694041	65	4	3302294709
Makers (10)	basic	ラマ	English: Ramas (Note: The term "Ramas" is used here as a direct translation, but it could refer to multiple concepts depending on context. Without additional context, this is the most accurate and natural translation.)  Since the instruction was to provide only the English translation without notes or quotes, the appropriate response should simply be:  Ramas	85956872500	63	71	74971992415
Makers (10)	basic	犬/妄想族	Dog/Wandering Imaginators	21616070000	67	7	6768752000
Makers (10)	basic	アンダー	underneath	13041000541	63	3	2088677957
Makers (10)	basic	MysticAngelLabel	Mystic Angel Label	16091744334	63	6	5291506374
Makers (10)	basic	グラマラスキャンディ	Glamorous Candy	20365890791	68	5	4492489583
Series (10)	basic	美人女将	beautiful female manager or elegant lady manager	20898919042	66	8	7380447793
Series (10)	basic	またがり淫語お姉さん	Horny older sister sitting astride	23564450125	70	7	6382150833
Series (10)	basic	○歳、性欲、覚醒	Age, sexual desire, awakening	21666326000	68	7	6172072835
Series (10)	basic	Viking8play○○分スペシャルコース！	Viking8play special course for ○○ minutes!	28751643375	70	12	11554300835
Series (10)	basic	Aphrodite	Venus	12908693333	63	3	2137840832
Series (10)	basic	SEXbyHMJMハマジムベスト	Sex by HMJM Ham Gym Best	23399674667	69	8	7346420543
Series (10)	basic	抜かれっぱなしの1泊2日	A two-day trip that feels like being left behind	27697690500	70	11	10381166499
Series (10)	basic	女王様のM男調教	Queen's M male training	22511768875	70	6	5150587458
Series (10)	basic	ハメ潮100リットル中出しザーメン10リットル	creampie 100 liters cum 10 liters	40083909667	81	12	11816246958
Series (10)	basic	やっぱり、妻が好きだ！	I still love my wife!	23483468417	70	7	6187638500
Titles (15)	hardened	ガッツリ欲しがるカラダ 吉川あいみ	Hungry Body Craving: Aimi Yoshikawa	252807130959	279	12	12085784584
Titles (15)	hardened	松本いちかSUPER COMPLETE BEST	Ichiaka Matsudoi SUPER COMPLETE BEST	24206372084	271	10	9336380209
Titles (15)	hardened	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	Rape-Inducing Sexual Desire Overwhelming Married Woman Tired of Monotonous Sex, Wife Wants to Be Fucked Brutally by Another Man. Perverted Submissive Wish. Mana Sakurasawa	105219941084	322	41	42225205626
Titles (15)	hardened	超快感風俗フルコース 神咲詩織	Ultra Pleasure Pornic Full Course: Shiori Kamizaki	38578937667	280	15	14696415916
Titles (15)	hardened	紗倉まな お悩み人生相談	Sakura Mana Worries and Life Consultation	30721192500	276	11	10503042334
Titles (15)	hardened	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After eight months of negotiations, Sato Erika's debut outdoor sex finally happens!	51839042834	291	18	17877816874
Titles (15)	hardened	元彼と同窓会で再会した後、魔が差して久しぶりのキメセクをしてしまった私は不貞行為と知りつつも一生あの圧倒的快感から離れられなくなってしまいました… 桜空もも （ブルーレイディスク） 生写真3枚セット	After running into my ex at our school reunion, I gave in to temptation and had adulterous sex despite knowing it was wrong. I couldn't escape the overwhelming pleasure... Sakura Sora Momomi (Blu-ray Disc) 3 Photo Set	125694369209	334	51	52258257956
