section	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
Titles (15)	basic	ガッツリ欲しがるカラダ 吉川あいみ	Aimie Yoshikawa - The Body That Craves Deeply	28267233250	63	15	5925831626
Titles (15)	basic	松本いちかSUPER COMPLETE BEST	Matsuboto Ichika SUPER COMPLETE BEST	13297553000	55	10	3818234959
Titles (15)	basic	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	A wife with an intense sexual desire who wants to seduce a man, craving a chaotic M fantasy after being bored with mundane sex. Mana Saka仓	42683602166	106	32	13491791789
Titles (15)	basic	超快感風俗フルコース 神咲詩織	Ultra Pleasure Brothel Full Course Kodama Shiho	18203308709	64	13	5179846542
Titles (15)	basic	紗倉まな お悩み人生相談	Manami Sa仓 Life Consultation	14606959958	60	8	3066150957
Titles (15)	basic	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After 8 months of negotiations, it finally came true! Sato Arika's first blue movie!	26588366750	75	22	9137020669
Titles (15)	basic	元彼と同窓会で再会した後、魔が差して久しぶりのキメセクをしてしまった私は不貞行為と知りつつも一生あの圧倒的快感から離れられなくなってしまいました… 桜空もも （ブルーレイディスク） 生写真3枚セット	After reuniting with my ex-boyfriend at a class reunion, I lost control and had a rare session of intimacy, knowing it was an infidelity, but I couldn't ever escape that overwhelming pleasure... Sakura Sora Momo (Blu-ray Disc) 3-piece live photo set	61684669375	118	60	27124184420
Titles (15)	basic	フラれた女に執着襲撃姦復縁するまで終わらない這ってでも求愛サイコ依存彼氏の自宅軟禁種付けレ×プ 桜空もも （ブルーレイディスク）	Psychological dependency on an obsessed stalker who rapes and seeks reconciliation, even crawling to beg, leading to a forced pregnancy and confinement at his home, Sakura Sora Momo (Blu-ray Disc)	45602593875	101	42	18002238582
Titles (15)	basic	24/SEVENα 06	24/7 Alpha 06	13998806833	57	9	3507722540
Titles (15)	basic	生中出し 花野真衣	Live birth, Hana no Mai	13299348500	56	8	3029319542
Titles (15)	basic	BDSM 緊縛×拘束具×人体固定 吉川あいみ	BDSM Bondage × Restraints × Human Immobilization Aimi Yoshikawa	22268259875	66	20	8296986168
Titles (15)	basic	ヒーローショーの司会進行をしている元気で明るいお姉さんのお仕事は、楽屋裏で性欲処理として中出し輪●される事も含まれています。 紗倉まな	The job of the energetic and cheerful hostess of the hero show includes being penetrated and ejaculated on in the dressing room as a form of sexual release. Manaka Sa仓	42870042333	101	36	15350909712
Titles (15)	basic	猥褻痴漢アンソロジー 恥辱の美少女厳選集4時間	Pornographic Pervert Anthology: 4-Hour Collection of Selected Beautiful Teen Girls' Shameful Moments	24734193333	70	22	9221302333
Titles (15)	basic	薄着のくびれ団地妻の淫らで尻軽なご近所付き合い 星宮一花	Thinly clad, curvaceous apartment complex wife with lewd and light-assed neighborhood relations, Hoshimi Ichika	29346451041	77	26	11046713711
Titles (15)	basic	ショートヘア・ラプソディ 紗倉まな	Short Hair Rhapsody Manaka Saegusa	18166387125	65	11	4445048751
Makers (10)	basic	teamZERO	teamZERO	8397875500	49	3	887082459
Makers (10)	basic	SWITCH	Switch	7506383792	48	2	443136208
Makers (10)	basic	アイエナジー	Ie-nagei	10949864125	52	6	2269297457
Makers (10)	basic	CREAM PIE	Cream Pie	8808474250	50	3	889383542
Makers (10)	basic	オルガBlack	Orga Black	10210308209	52	4	1417968375
Makers (10)	basic	ラマ	Rama	8950191500	50	3	915855334
Makers (10)	basic	犬/妄想族	Dog/Delusion Tribe	11947459375	54	6	2295995458
Makers (10)	basic	アンダー	Under	8529035042	50	2	471657042
Makers (10)	basic	MysticAngelLabel	Mystic Angel Label	10384609958	50	6	2305167208
Makers (10)	basic	グラマラスキャンディ	Glamorous Candy	12178736125	55	5	1901000374
Series (10)	basic	美人女将	Beautiful female proprietor	10817048417	53	4	1367738792
Series (10)	basic	またがり淫語お姉さん	Another deviant slang term for an older sister	15420282833	57	10	4236362959
Series (10)	basic	○歳、性欲、覚醒	Age, sex desire, awakening	13395477917	55	7	2938944415
Series (10)	basic	Viking8play○○分スペシャルコース！	Viking8play Special Course ○○ Minutes!	16550891500	57	11	4834850792
Series (10)	basic	Aphrodite	Aphrodite	10667506625	50	5	2015172457
Series (10)	basic	SEXbyHMJMハマジムベスト	SEXbyHMJM Hamajimu Best	15101745208	56	9	3957148083
Series (10)	basic	抜かれっぱなしの1泊2日	One-day trip without return	15535125459	57	6	3785280208
Series (10)	basic	女王様のM男調教	Malesubmission Training of the Queen	27263930000	57	9	6881323999
Series (10)	basic	ハメ潮100リットル中出しザーメン10リットル	Hame Nama 100 liters, full ejaculation 10 liters	50211553875	68	17	16180209585
Series (10)	basic	やっぱり、妻が好きだ！	I really do love my wife!	29030917375	57	8	5380083126
Titles (15)	hardened	ガッツリ欲しがるカラダ 吉川あいみ	Gutsuri Hoshigaru Karada: Yoshikawa Aimi	218762091459	266	16	15687153917
Titles (15)	hardened	松本いちかSUPER COMPLETE BEST	松本いちか SUPER COMPLETE BEST	26933269500	258	8	5348326500
Titles (15)	hardened	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	Rape-Inducing Sex Drive: Super Extreme Wife Who's Tired of Monotonous Sex Wants to Tempt Other Men and Be Brutally Raped, Has a Sadistic M Fetish Desire. Mana Saka	77866987583	309	45	30297724121
Titles (15)	hardened	超快感風俗フルコース 神咲詩織	Super Satisfying Blowjob Full Course: Kaminokami Shiori	28225044791	267	16	9373622045
Titles (15)	hardened	紗倉まな お悩み人生相談	/No translation provided.	19652249041	263	6	3064178707
Titles (15)	hardened	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After 8 months of negotiations, it finally came true! Sato Emiya's First Outdoor Sex!!	38380066250	278	23	13553697208
Titles (15)	hardened	元彼と同窓会で再会した後、魔が差して久しぶりのキメセクをしてしまった私は不貞行為と知りつつも一生あの圧倒的快感から離れられなくなってしまいました… 桜空もも （ブルーレイディスク） 生写真3枚セット	After reuniting with my ex-boyfriend at a class reunion, I lost control and had my first sex session in a long time. Even though I knew it was an infidelity, I couldn't escape the overwhelming pleasure... Sakura Suki Momo (Blu-ray Disc) 3 Nude Photos Set	86048766084	321	63	37734130957
Titles (15)	hardened	フラれた女に執着襲撃姦復縁するまで終わらない這ってでも求愛サイコ依存彼氏の自宅軟禁種付けレ×プ 桜空もも （ブルーレイディスク）	The Stolen Woman's Obsessive Pursuit: Rape and Reunion Until It's Over, Even If She Crawls, Seeking a Psychologically Dependent Lover Who Is Confined at Home and Forced to Breed, Rape, Sakura Sora Momo (Blu-ray Disc)	74680139333	304	58	35551306918
Titles (15)	hardened	24/SEVENα 06	/ no_think	17339316583	260	5	2429785041
Titles (15)	hardened	生中出し 花野真衣	Raw Creampie: Hanano Makoto	19234044042	259	9	4890671872
Titles (15)	hardened	BDSM 緊縛×拘束具×人体固定 吉川あいみ	BDSM Tight Binding × Restraints × Human Immobilization Aimi Yoshikawa	30759959041	269	20	11385011626
Titles (15)	hardened	ヒーローショーの司会進行をしている元気で明るいお姉さんのお仕事は、楽屋裏で性欲処理として中出し輪●される事も含まれています。 紗倉まな	The energetic and cheerful sister host working at the hero show also has her job include being creampie gangbanged in the dressing room as a way to process her sexual desires. SaKura Mana	57905488833	304	39	21436240417
Titles (15)	hardened	猥褻痴漢アンソロジー 恥辱の美少女厳選集4時間	Pornographic Molester Anthology: Selected Shamed Beautiful Girls Collection 4 Hours	28833910500	273	18	9198425623
Titles (15)	hardened	薄着のくびれ団地妻の淫らで尻軽なご近所付き合い 星宮一花	Thinly Clad Busty Apartment Wife's Lascivious and Light-Assed Neighborhood Relations: Hoshimi Ichika	35408468750	280	25	12767818707
Titles (15)	hardened	ショートヘア・ラプソディ 紗倉まな	Short Hair Rhapsody: Manaka Saegawa	22650645792	268	12	5970593250
Stage names (15)	basic	深田えいみ	Eimi Fukuda	29239714667	54	5	1746295333
Stage names (15)	basic	蒼井そら	Aoi Sora	10763081292	53	5	1761123250
Stage names (15)	basic	春陽モカ	Spring Sun Moka	10972710791	52	5	1726635959
Stage names (15)	basic	神宮寺ナオ	Kamigoyama Naoki	12460594875	54	8	3070014168
Stage names (15)	basic	唯井まひろ	Maihiro Mika	12158842583	54	6	2674660959
Stage names (15)	basic	辻本杏	Tsubamoto Aoi	10586569333	51	6	2245045792
Stage names (15)	basic	ジュリア	Julia	9197545417	51	3	889189750
Stage names (15)	basic	古川いおり	Fuyuki Aoi	11581711583	52	6	2623330207
Stage names (15)	basic	湊莉久	Mizuki Sawa	11280133125	52	6	2431744958
Stage names (15)	basic	神咲詩織	Kamisaki Shiori	13866482375	55	8	3158100583
Stage names (15)	basic	鈴村あいり	Airi Suzumura	12272005417	54	6	2261069875
Stage names (15)	basic	楓カレン	Maple Karen	10268451125	52	4	1352432415
Stage names (15)	basic	紗倉まな	Mana Saegusa	12196176083	54	5	2127636459
Stage names (15)	basic	香苗レノン	Kōsaya Renon	12465764833	54	7	2714392878
Stage names (15)	basic	二階堂夢	Yumeno Nikkando	11665153125	52	7	2727565082
