section	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
Titles (15)	basic	ガッツリ欲しがるカラダ 吉川あいみ	Yoshikawa Aimi, who has a strong desire and a body that reflects it.	60207000000	0	0	0
Titles (15)	basic	松本いちかSUPER COMPLETE BEST	Ichika Matsumoto: Super Complete Best.	18538000000	0	0	0
Titles (15)	basic	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	A married woman with intense sexual desires is bored with her routine sex life and harbors a masochistic fantasy of being seduced and having wild encounters with other men. (Sakura Mana)	74439000000	0	0	0
Titles (15)	basic	超快感風俗フルコース 神咲詩織	Super pleasurable full-course adult entertainment featuring Kami Saki Shiori.	26173000000	0	0	0
Titles (15)	basic	紗倉まな お悩み人生相談	Sakura Mana's Advice Column: Life Problems and Solutions.	24014000000	0	0	0
Titles (15)	basic	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After eight months of negotiations, it's finally happening! Eriko Sato's first appearance in a pornographic film!	43069000000	0	0	0
Titles (15)	basic	フラれた女に執着襲撃姦復縁するまで終わらない這ってでも求愛サイコ依存彼氏の自宅軟禁種付けレ×プ 桜空もも （ブルーレイディスク）	This is a description of a product, likely a movie or video, that depicts a disturbing and exploitative scenario. It involves a woman who has been betrayed, a man who obsessively pursues her, sexual assault, forced confinement, and a cycle of abuse and reconciliation. The title includes the name "Sakura Sora Momo" and specifies that it's a Blu-ray disc.	108903000000	0	0	0
Titles (15)	basic	24/SEVENα 06	24/SEVENα, issue 06.	25544000000	0	0	0
Titles (15)	basic	生中出し 花野真衣	Live broadcast featuring Hana No Marie.	19320000000	0	0	0
Titles (15)	basic	BDSM 緊縛×拘束具×人体固定 吉川あいみ	BDSM bondage, restraints, and human body fixation. (Artist: Aimi Yoshikawa)	35919000000	0	0	0
Titles (15)	basic	ヒーローショーの司会進行をしている元気で明るいお姉さんのお仕事は、楽屋裏で性欲処理として中出し輪●される事も含まれています。 紗倉まな	The energetic and cheerful woman who hosts and directs the hero show also has a job that involves sexual activity, specifically, she performs oral sex in the dressing room.	68409000000	0	0	0
Titles (15)	basic	猥褻痴漢アンソロジー 恥辱の美少女厳選集4時間	Lewd molester anthology: A carefully selected collection of embarrassing stories featuring beautiful young girls, lasting 4 hours.	39824000000	0	0	0
Titles (15)	basic	薄着のくびれ団地妻の淫らで尻軽なご近所付き合い 星宮一花	Hoshimiya Ichika: The story of a woman living in a low-rise apartment complex, known for her revealing clothing, frequent encounters with neighbors, and promiscuous behavior.	53712000000	0	0	0
Titles (15)	basic	ショートヘア・ラプソディ 紗倉まな	Short Hair Rhapsody, by Sakura Mana.	22870000000	0	0	0
Makers (10)	basic	teamZERO	teamZERO	10111000000	0	0	0
Makers (10)	basic	SWITCH	SWITCH	7870000000	0	0	0
Makers (10)	basic	アイエナジー	I Energy.	13736000000	0	0	0
Makers (10)	basic	CREAM PIE	CREAM PIE	12309000000	0	0	0
Makers (10)	basic	オルガBlack	Olga Black.	13458000000	0	0	0
Makers (10)	basic	ラマ	Llama	10052000000	0	0	0
Makers (10)	basic	犬/妄想族	Dogs/Delusional people	13562000000	0	0	0
Makers (10)	basic	アンダー	Underwear.	11667000000	0	0	0
Makers (10)	basic	MysticAngelLabel	Mystic Angel Label.	13270000000	0	0	0
Makers (10)	basic	グラマラスキャンディ	Glamorous Candy.	13982000000	0	0	0
Series (10)	basic	美人女将	Beautiful female manager.	12747000000	0	0	0
Series (10)	basic	○歳、性欲、覚醒	Age unspecified, sexual desire, awakening.	18496000000	0	0	0
Series (10)	basic	Viking8play○○分スペシャルコース！	Viking8play offers special courses lasting approximately [number] minutes!	23144000000	0	0	0
Series (10)	basic	Aphrodite	Aphrodite.	10686000000	0	0	0
Series (10)	basic	SEXbyHMJMハマジムベスト	SEXbyHMJM men's vest.	17671000000	0	0	0
